pathway,database,overlap,pathway_size,fold_enrichment,vif,z_score,p_value,overlapping_genes,fdr_q
Class C/3 (Metabotropic Glutamate/Pheromone Receptors) R-HSA-420499,Reactome,8,37,13.0,3.48,4.75,1.028428915308947e-06,"TAS2R10, TAS2R20, TAS2R30, TAS2R31, TAS2R46, TAS2R5, TAS2R50, TAS2R9",0.00022728279028327728
Butyrophilin (BTN) Family Interactions R-HSA-8851680,Reactome,3,9,20.05,2.74,3.7,0.00010797597054377298,"BTN2A1, BTN2A2, BTNL2",0.011931344745086914
Taste transduction,KEGG,10,80,7.52,4.72,3.3,0.0004896120256632937,"HTR3C, HTR3E, TAS2R10, TAS2R20, TAS2R30, TAS2R31, TAS2R46, TAS2R5, TAS2R50, TAS2R9",0.0347820994494462
"Sensory Perception Of Sweet, Bitter, And Umami (Glutamate) Taste R-HSA-9717207",Reactome,7,39,10.79,5.37,3.17,0.0007709750510387834,"TAS2R10, TAS2R20, TAS2R30, TAS2R31, TAS2R46, TAS2R5, TAS2R50",0.0347820994494462
Interaction With Cumulus Cells And Zona Pellucida R-HSA-2534343,Reactome,2,7,17.18,1.75,3.09,0.0009875496210855078,"ADAM20, OVGP1",0.0347820994494462
Steroid hormone biosynthesis,KEGG,7,47,8.96,4.52,3.07,0.001056560583773231,"AKR1C4, CYP11B1, CYP11B2, HSD17B6, UGT1A6, UGT1A8, UGT2B28",0.0347820994494462
mRNA Editing R-HSA-75072,Reactome,2,8,15.04,1.53,3.06,0.0011053536515057483,"ADAR, APOBEC3H",0.0347820994494462
Sensory Perception R-HSA-9709957,Reactome,39,546,4.3,11.02,3.02,0.001259080523056876,"AKR1C4, BCO2, GRK4, HSD17B6, OR10G6, OR13D1, OR1G1, OR1L1, OR2A4, OR2G3, OR2G6, OR2T11, OR2T27, OR2V1, OR2Z1, OR3A2, OR4C15, OR4L1, OR51D1, OR51E1, OR5K2, OR5M11, OR6A2, OR6F1, OR7D2, OR8D1, OR8D2, OR8G1, OR8G5, OR8H1, OR8K5, RBP1, TAS2R10, TAS2R20, TAS2R30, TAS2R31, TAS2R46, TAS2R5, TAS2R50",0.0347820994494462
Expression And Translocation Of Olfactory Receptors R-HSA-9752946,Reactome,27,340,4.78,10.39,2.77,0.0027633327484202315,"OR10G6, OR13D1, OR1G1, OR1L1, OR2A4, OR2G3, OR2G6, OR2T11, OR2T27, OR2V1, OR2Z1, OR3A2, OR4C15, OR4L1, OR51D1, OR51E1, OR5K2, OR5M11, OR6A2, OR6F1, OR7D2, OR8D1, OR8D2, OR8G1, OR8G5, OR8H1, OR8K5",0.05311048192638032
Olfactory Signaling Pathway R-HSA-381753,Reactome,27,347,4.68,10.1,2.77,0.0027978466556700505,"OR10G6, OR13D1, OR1G1, OR1L1, OR2A4, OR2G3, OR2G6, OR2T11, OR2T27, OR2V1, OR2Z1, OR3A2, OR4C15, OR4L1, OR51D1, OR51E1, OR5K2, OR5M11, OR6A2, OR6F1, OR7D2, OR8D1, OR8D2, OR8G1, OR8G5, OR8H1, OR8K5",0.05311048192638032
Sensory Perception Of Taste R-HSA-9717189,Reactome,7,45,9.36,5.88,2.77,0.0028192379471606447,"TAS2R10, TAS2R20, TAS2R30, TAS2R31, TAS2R46, TAS2R5, TAS2R50",0.05311048192638032
Olfactory transduction,KEGG,27,379,4.28,8.86,2.76,0.0028838270729256285,"OR10G6, OR13D1, OR1G1, OR1L1, OR2A4, OR2G3, OR2G6, OR2T11, OR2T27, OR2V1, OR2Z1, OR3A2, OR4C15, OR4L1, OR51D1, OR51E1, OR5K2, OR5M11, OR6A2, OR6F1, OR7D2, OR8D1, OR8D2, OR8G1, OR8G5, OR8H1, OR8K5",0.05311048192638032
